ASY,PCB,Family,Top Priority 1,Top Priority 2,Top Priority 3,Bot Priority 1,Bot Priority 2,Bot Priority 3,# Circuits
40857-005-57,40857-004-03,MLX-33,SM1,,,SM1,,,24
40857-011-52,40857-010-05,MLX-32,SM8,,,SM8,,,9
40857-014-52,40857-013-06,MLX-8,SM8,,,SM8,,,4
40857-017-52,40857-016-07,MLX-8,SM8,,,SM8,,,4
40857-020-52,40857-019-05,MLX-7,SM8,,,SM8,,,4
40857-020-53,40857-019-05,MLX-7,SM8,,,SM8,,,4
40857-033-51,40857-032-07,MLX-1,SM8,,,SM8,,,4
40857-033-51,40857-032-08,MLX-1,SM8,,,SM8,,,4
40865-053-51,40865-052-04,MLX-4,SM8,,,SM8,,,4
40865-056-51,40865-055-04,MLX-5,SM4,,,SM4,,,4
40865-059-51,40865-058-03,MLX-6,SM8,,,SM8,,,4
40865-062-51,40865-061-03,MLX-18,SM1,,,SM8,,,4
40865-065-51,40865-064-05,MLX-9,SM8,,,SM8,,,6
40865-065-51,40865-064-05,MLX-9,SM8,,,SM8,,,6
40865-068-51,40865-067-03,MLX-4,SM8,,,SM8,,,3
40865-071-51,40865-070-03,MLX-5,SM4,,,SM4,,,3
40865-074-51,40865-073-01,MLX-6,SM8,,,SM8,,,3
40865-077-51,40865-076-05,MLX-18,SM1,,,SM8,,,3
40865-077-51,40865-076-06,MLX-18,SM1,,,SM8,,,3
40865-080-51,40865-079-05,MLX-9,SM8,,,SM8,,,3
40865-080-51,40865-079-05,MLX-9,SM8,,,SM8,,,3
40865-092-51,40865-091-03,MLX-18,SM1,,,SM8,,,4
40865-172-51,40865-171-02,MLX-9,SM8,,,SM8,,,6
40865-172-51,40865-171-02,MLX-9,SM8,,,SM8,,,6
40865-182-51,40865-181-02,MLX-9,SM8,,,SM8,,,3
40865-182-51,40865-181-02,MLX-9,SM8,,,SM8,,,3
40870-003-51,40870-002-01,MLX-12,SM4,,,SM4,,,3
40870-003-51,,MLX-12,SM4,,,SM4,,,3
40870-003-51,40870-002-03,MLX-12,SM4,,,SM4,,,3
40870-003-51,40870-002-04,MLX-12,SM4,,,SM4,,,3
40870-003-51,40870-002-04,MLX-12,SM4,,,SM4,,,3
40870-003-52,40870-002-03,MLX-12,SM4,,,SM4,,,3
40870-003-52,40870-002-04,MLX-12,SM4,,,SM4,,,3
40870-003-52,40870-002-04,MLX-12,SM4,,,SM4,,,3
40870-013-51,40870-012-01,MLX-49,SM1,,,SM1,,,3
40870-013-51,40870-012,MLX-49,SM1,,,SM1,,,3
40870-013-51,40870-012-03,MLX-49,SM1,,,SM1,,,3
40870-013-51,40870-012-03,MLX-49,SM1,,,SM1,,,3
40870-013-52,40870-012-03,MLX-49,SM1,,,SM1,,,3
40870-013-52,40870-012-03,MLX-49,SM1,,,SM1,,,3
40870-023-51,,MLX-49,SM1,,,SM1,,,3
40870-023-51,40870-022-02,MLX-49,SM1,,,SM1,,,3
40870-023-51,40870-022-03,MLX-49,SM1,,,SM1,,,3
40870-023-51,40870-022-03,MLX-49,SM1,,,SM1,,,3
40870-023-52,40870-022-03,MLX-49,SM1,,,SM1,,,3
40870-023-52,40870-022-03,MLX-49,SM1,,,SM1,,,3
40870-043-51,,MLX-26,SM8,,,SM8,,,6
40870-043-51,,MLX-26,SM8,,,SM8,,,6
40870-043-51,40870-042-03,MLX-26,SM8,,,SM8,,,6
40870-043-51,40870-042-04,MLX-37,SM8,,,SM8,,,8
40870-053-51,40870-052-01,MLX-20,SM8,,,SM8,,,
40870-053-51,40870-052-02,MLX-20,SM8,,,SM8,,,72
77148-708-51,77148-707-03,MLX-31,SM1,,,SM4,,,12
92402401,92402491,POINT-62,SM4,,,SM4,,,9
92406601,92406491,POINT-1,SM5,,,SM5,,,9
92406801,92406491,POINT-1,SM5,,,SM5,,,9
92407401,92407091,POINT-45,SM4,,,SM4,,,9
92407601,92407691,POINT-39,SM8,,,SM8,,,9
92407801,92407691,POINT-39,SM8,,,SM8,,,9
92408601,92408291,POINT-1,SM5,,,SM5,,,9
92409202,92409292,POINT-5,SM8,,,SM8,,,9
92409402,92409292,POINT-5,SM8,,,SM8,,,9
92410202,92409292,POINT-5,SM8,,,SM8,,,9
92410402,92410492,POINT-37,SM8,,,SM8,,,9
92410602,92410492,POINT-37,SM8,,,SM8,,,9
92410802,92410492,POINT-37,SM8,,,SM8,,,9
92411402,92411092,POINT-26,SM5,,,SM5,,,9
92414601,92414691,TB1,,,,SM7,,,6
92414801,92414691,TB1,,,,SM7,,,6
92415201,92414691,TB1,,,,SM7,,,6
92415401,92415491,TB1,,,,SM7,,,6
92415601,92415491,TB1,,,,SM7,,,6
92415801,92415891_A01,TB1,,,,SM7,,,6
92416201,92415891,TB1,,,,SM7,,,6
92416401,92416491,TB1,,,,SM7,,,6
92416601,92416491,TB1,,,,SM7,,,6
92416801,92416891,TB1,,,,SM7,,,6
92417201,92417291,TB1,,,,SM7,,,6
92420001,92420091,POINT-6,SM8,,,,,,8
92420202,92420292,POINT-27,SM8,,,SM8,,,9
92420402,92420292,POINT-27,SM8,,,SM8,,,9
92420602,92420292,POINT-27,SM8,,,SM8,,,9
92420802,92420292,POINT-27,SM8,,,SM8,,,9
92421002,92421092,POINT-52,SM4,,,SM4,,,9
92421202,92421092,POINT-52,SM4,,,SM4,,,9
92421402,92421492,POINT-25,SM5,,,SM5,,,9
92421601,92420091,POINT-6,SM8,,,,,,8
92421801,92420091,POINT-6,SM8,,,,,,8
92422001,92422091,POINT-28,SM7,,,SM7,,,6
